TIMESTAMP_UTC,HOST_CPU_COUNT,BASE_SEED,START_SEED,NUM_SIMS,SORT_COLOR,WORKERS_USED,BRANCH_INDEX,RANK,SETTLEMENT,ROAD,SETTLEMENT2,ROAD2,WOOD_PIPS,BRICK_PIPS,SHEEP_PIPS,WHEAT_PIPS,ORE_PIPS,WOOD_PIPS2,BRICK_PIPS2,SHEEP_PIPS2,WHEAT_PIPS2,ORE_PIPS2,AVG_TURNS,WALL_TIME_SEC,CPU_TIME_SEC,WINNER,WIN_RED,WIN_BLUE,WIN_ORANGE,WIN_WHITE,AVG_VP_RED,AVG_VP_BLUE,AVG_VP_ORANGE,AVG_VP_WHITE
unix:1772411096,16,99,1000,0,RED,12,209,1,39,39-41,5,5-16,0,5,0,3,0,0,2,0,5,0,109.37,0.0722,0.0722,RED,80.0,8.0,11.0,1.0,9.40,5.71,6.06,4.57
unix:1772411096,16,99,1000,0,RED,12,192,2,5,4-5,17,15-17,0,2,0,5,0,0,5,0,5,0,115.20,0.0751,0.0751,RED,75.0,10.5,14.0,0.5,9.28,6.11,6.24,4.62
unix:1772411096,16,99,1000,0,RED,12,174,3,39,39-41,4,4-5,0,5,0,3,0,0,2,5,2,0,104.72,0.0743,0.0743,RED,64.5,11.0,23.0,1.5,8.79,5.85,7.10,5.27
unix:1772411096,16,99,1000,0,RED,12,157,4,17,17-39,4,4-5,0,5,0,5,0,0,2,5,2,0,99.87,0.0628,0.0628,RED,61.0,10.0,29.0,0.0,8.55,5.70,7.36,4.44
unix:1772411096,16,99,1000,0,RED,12,412,5,18,16-18,24,24-53,0,5,0,2,0,7,0,0,0,0,102.81,0.0683,0.0683,RED,57.5,19.5,19.0,4.0,8.47,7.42,7.45,4.58
unix:1772411096,16,99,1000,0,RED,12,426,5,41,41-42,18,16-18,0,5,0,0,0,0,5,0,2,0,102.65,0.0629,0.0629,RED,57.5,25.0,17.5,0.0,8.51,7.39,6.75,3.70
unix:1772411096,16,99,1000,0,RED,12,749,5,39,38-39,53,52-53,0,5,0,3,0,2,0,0,0,0,106.61,0.0886,0.0886,RED,57.5,16.5,23.5,2.5,8.50,7.05,7.18,4.63
unix:1772411096,16,99,1000,0,RED,12,322,6,12,3-12,17,17-18,0,4,6,0,0,0,5,0,5,0,101.09,0.0655,0.0655,RED,57.0,24.0,19.0,0.0,8.32,7.39,6.92,4.59
unix:1772411096,16,99,1000,0,RED,12,353,7,17,15-17,16,16-21,0,5,0,5,0,0,0,0,5,0,102.24,0.0649,0.0649,RED,56.5,25.0,18.5,0.0,8.47,7.43,6.92,3.81
unix:1772411096,16,99,1000,0,RED,12,398,8,17,15-17,41,39-41,0,5,0,5,0,0,5,0,0,0,100.86,0.0608,0.0608,RED,55.5,23.5,21.0,0.0,8.33,7.37,7.04,3.54
unix:1772411096,16,99,1000,0,RED,12,399,8,17,15-17,42,41-42,0,5,0,5,0,0,5,0,0,0,101.55,0.0652,0.0652,RED,55.5,22.5,22.0,0.0,8.39,7.39,7.03,3.29
unix:1772411096,16,99,1000,0,RED,12,432,9,47,45-47,18,18-40,0,0,0,0,4,0,5,0,2,0,101.79,0.0674,0.0674,RED,55.0,25.5,19.0,0.5,8.61,7.38,7.10,5.13
unix:1772411096,16,99,1000,0,RED,12,122,10,18,17-18,3,3-4,0,5,0,2,0,0,6,5,0,0,95.80,0.0641,0.0641,RED,54.5,20.0,25.5,0.0,8.09,6.73,7.10,3.41
unix:1772411096,16,99,1000,0,RED,12,630,10,39,17-39,31,30-31,0,5,0,3,0,0,0,0,4,0,101.21,0.0692,0.0692,RED,54.5,24.5,21.0,0.0,8.26,7.27,6.93,3.24
unix:1772411096,16,99,1000,0,RED,12,10,11,18,16-18,0,0-5,0,5,0,2,0,4,2,0,3,0,112.34,0.0814,0.0814,RED,54.0,36.0,6.5,3.5,8.49,8.14,6.40,6.42
unix:1772411096,16,99,1000,0,RED,12,339,11,12,3-12,39,38-39,0,4,6,0,0,0,5,0,3,0,101.87,0.0709,0.0709,RED,54.0,27.5,18.0,0.5,8.25,7.38,6.66,4.53
unix:1772411096,16,99,1000,0,RED,12,397,11,40,40-42,17,17-39,0,5,0,0,0,0,5,0,5,0,100.67,0.0714,0.0714,RED,54.0,26.0,20.0,0.0,8.43,7.40,6.94,3.38
unix:1772411096,16,99,1000,0,RED,12,409,11,17,17-18,53,24-53,0,5,0,5,0,2,0,0,0,0,106.33,0.0841,0.0841,RED,54.0,20.5,23.5,2.0,8.28,7.33,7.01,4.80
unix:1772411096,16,99,1000,0,RED,12,427,11,42,41-42,18,17-18,0,5,0,0,0,0,5,0,2,0,104.03,0.0798,0.0798,RED,54.0,26.5,19.0,0.5,8.35,7.51,6.92,3.61
unix:1772411096,16,99,1000,0,RED,12,150,12,52,23-52,3,2-3,2,0,0,0,5,0,6,5,0,0,101.26,0.1010,0.1010,RED,53.5,27.5,13.5,5.5,8.40,7.45,6.52,6.04
unix:1772411096,16,99,1000,0,RED,12,149,13,51,51-52,3,3-4,0,0,0,0,5,0,6,5,0,0,102.66,0.0708,0.0708,RED,53.0,32.5,14.0,0.5,8.32,7.71,6.60,4.37
unix:1772411096,16,99,1000,0,RED,12,193,13,18,16-18,5,4-5,0,5,0,2,0,0,2,0,5,0,97.39,0.0709,0.0709,RED,53.0,16.0,31.0,0.0,8.07,6.95,7.56,3.30
unix:1772411096,16,99,1000,0,RED,12,407,13,17,15-17,51,51-52,0,5,0,5,0,0,0,0,0,5,101.64,0.0647,0.0647,RED,53.0,23.5,20.5,3.0,8.16,7.27,7.03,5.68
unix:1772411096,16,99,1000,0,RED,12,738,13,40,18-40,39,17-39,0,5,0,0,0,0,5,0,3,0,103.58,0.0626,0.0626,RED,53.0,30.5,16.0,0.5,8.45,7.70,6.88,3.77
unix:1772411096,16,99,1000,0,RED,12,151,14,53,52-53,3,3-4,2,0,0,0,0,0,6,5,0,0,103.54,0.0689,0.0689,RED,52.5,33.0,11.5,3.0,8.36,7.77,6.50,5.58
unix:1772411096,16,99,1000,0,RED,12,368,14,39,39-41,16,16-18,0,5,0,3,0,0,0,0,5,0,102.39,0.0690,0.0690,RED,52.5,26.0,21.5,0.0,8.32,7.55,7.06,3.74
unix:1772411096,16,99,1000,0,RED,12,436,14,52,51-52,18,18-40,2,0,0,0,5,0,5,0,2,0,101.50,0.0703,0.0703,RED,52.5,15.5,21.5,10.5,8.30,7.12,7.20,5.90
unix:1772411096,16,99,1000,0,RED,12,437,14,18,16-18,53,52-53,0,5,0,2,0,2,0,0,0,0,102.68,0.0657,0.0657,RED,52.5,13.5,33.5,0.5,8.13,6.96,7.56,3.78
unix:1772411096,16,99,1000,0,RED,12,501,14,24,24-53,39,39-41,7,0,0,0,0,0,5,0,3,0,99.97,0.0577,0.0577,RED,52.5,22.5,17.0,8.0,8.27,7.15,7.07,5.28
unix:1772411096,16,99,1000,0,RED,12,323,15,12,12-13,18,18-40,0,4,6,0,0,0,5,0,2,0,97.15,0.0605,0.0605,RED,52.0,25.5,22.5,0.0,8.15,7.08,6.90,3.87
unix:1772411096,16,99,1000,0,RED,12,384,15,17,17-39,24,24-53,0,5,0,5,0,7,0,0,0,0,99.10,0.0562,0.0562,RED,52.0,18.5,15.5,14.0,8.19,7.11,6.97,5.73
unix:1772411096,16,99,1000,0,RED,12,425,15,18,16-18,39,38-39,0,5,0,2,0,0,5,0,3,0,103.64,0.0752,0.0752,RED,52.0,27.0,20.5,0.5,8.32,7.63,7.03,3.79
unix:1772411096,16,99,1000,0,RED,12,430,15,45,45-46,18,18-40,0,0,0,0,4,0,5,0,2,0,102.47,0.0679,0.0679,RED,52.0,24.5,22.0,1.5,8.47,7.40,7.22,5.20
unix:1772411096,16,99,1000,0,RED,12,740,15,43,43-47,39,17-39,0,0,0,0,4,0,5,0,3,0,100.10,0.0629,0.0629,RED,52.0,23.5,23.5,1.0,8.26,7.22,7.26,4.78
