TIMESTAMP_UTC,HOST_CPU_COUNT,BASE_SEED,START_SEED,NUM_SIMS,SORT_COLOR,WORKERS_USED,BRANCH_INDEX,RANK,SETTLEMENT,ROAD,SETTLEMENT2,ROAD2,WOOD_PIPS,BRICK_PIPS,SHEEP_PIPS,WHEAT_PIPS,ORE_PIPS,WOOD_PIPS2,BRICK_PIPS2,SHEEP_PIPS2,WHEAT_PIPS2,ORE_PIPS2,AVG_TURNS,WALL_TIME_SEC,CPU_TIME_SEC,WINNER,WIN_RED,WIN_BLUE,WIN_ORANGE,WIN_WHITE,AVG_VP_RED,AVG_VP_BLUE,AVG_VP_ORANGE,AVG_VP_WHITE
unix:1772577756,16,99,1000,200,RED,16,320,1,44,43-44,15,4-15,0,5,0,0,0,2,0,2,5,0,101.55,1.5096,1.5096,RED,55.0,28.5,14.5,2.0,8.66,7.88,7.37,5.51
unix:1772577756,16,99,1000,200,RED,16,439,2,41,39-41,23,22-23,0,0,0,3,0,0,0,2,0,9,100.61,1.2308,1.2308,RED,50.5,11.0,29.5,9.0,8.71,6.24,7.92,7.10
unix:1772577756,16,99,1000,200,RED,16,322,3,46,46-48,15,15-17,0,0,1,4,0,2,0,2,5,0,101.66,1.3203,1.3203,RED,50.0,30.0,19.0,1.0,8.47,8.08,7.44,4.64
unix:1772577756,16,99,1000,200,RED,16,321,4,15,14-15,45,45-47,2,0,2,5,0,0,0,0,4,0,98.82,1.2950,1.2950,RED,49.5,22.0,28.0,0.5,8.53,7.33,7.66,4.89
unix:1772577756,16,99,1000,200,RED,16,319,5,43,43-44,15,4-15,0,5,0,4,0,2,0,2,5,0,100.58,1.4622,1.4622,RED,48.0,30.0,19.0,3.0,8.48,7.81,7.29,5.95
unix:1772577756,16,99,1000,200,RED,16,440,6,42,41-42,23,23-52,0,0,0,3,0,0,0,2,0,9,99.91,1.2078,1.2078,RED,46.5,12.5,25.5,15.5,8.66,6.28,7.82,7.32
unix:1772577756,16,99,1000,200,RED,16,329,7,15,14-15,53,24-53,2,0,2,5,0,0,0,2,0,0,97.45,1.2408,1.2408,RED,46.0,29.0,24.5,0.5,8.25,7.77,7.59,4.33
unix:1772577756,16,99,1000,200,RED,16,427,7,23,22-23,29,10-29,0,0,2,0,9,3,5,0,0,0,97.35,1.3462,1.3462,RED,46.0,10.5,29.5,14.0,8.45,6.56,8.18,6.25
unix:1772577756,16,99,1000,200,RED,16,316,8,15,4-15,40,40-42,2,0,2,5,0,0,5,0,3,0,102.08,1.5382,1.5382,RED,45.5,33.0,16.0,5.5,8.31,8.03,7.36,5.69
unix:1772577756,16,99,1000,200,RED,16,323,8,15,4-15,47,43-47,2,0,2,5,0,0,0,0,4,0,99.89,1.4397,1.4397,RED,45.5,31.0,23.0,0.5,8.40,7.94,7.43,4.49
